fold,recall_macro,f1_macro,auc
1,0.6379996382709351,0.6322556390977443,0.7100289383251943
2,0.6878681331890852,0.683066422029432,0.7502253876667869
3,0.7434684684684685,0.7414390787966479,0.8271771771771772
4,0.7570214338507022,0.7620599739243807,0.8283612174964724
5,0.6272351707978789,0.6201357466063349,0.6776112960907634
6,0.7317351598173516,0.7394069203692635,0.8008850941389879
7,0.7238160499467032,0.7245270037839697,0.7732450129435053
8,0.6956758720930232,0.6960034013605443,0.772953003875969
9,0.6643496131528046,0.6613492477705416,0.7165286508704062
10,0.6929505813953488,0.6791624192349257,0.7438680959302326
