fold,recall_macro,f1_macro,auc
1,0.682608695652174,0.6117994100294986,0.7333333333333334
2,0.4226190476190476,0.3906045292906607,0.6071428571428571
3,0.5555555555555556,0.5178082191780822,0.6144505160898603
4,0.5571428571428572,0.4894254164327157,0.7339622641509433
5,0.5611205432937181,0.4853801169590643,0.6621392190152802
6,0.6990140114167098,0.6679245283018868,0.6979761286974572
7,0.6818181818181819,0.6863863150392018,0.6837465564738292
8,0.6969382459782044,0.6968733439321675,0.7270368448365334
9,0.6660919540229885,0.6768665850673194,0.8123563218390805
10,0.5277777777777778,0.429443173150267,0.4658119658119658
