Atom Num Conju-All Ratio,AtomWt Conju-All Ratio,Atom_PEOE-Charge_Sum,Atom_LogP_Sum,Atom_MR_Sum,Atom_PEOE-Charge_Mean,Atom_LogP_Mean,Atom_MR_Mean,Atom_PEOE-Charge_Std,Atom_LogP_Std,Atom_MR_Std,Atom_PEOE-Charge_Max,Atom_LogP_Max,Atom_MR_Max,Atom_PEOE-Charge_Min,Atom_LogP_Min,Atom_MR_Min,Atom_PEOE-Charge_Delta,Atom_LogP_Delta,Atom_MR_Delta
0.666666667,0.612818879,1.39E-16,3.0863,59.67,4.96E-18,0.110225,2.131071429,0.09888379,0.120469894,1.158639872,0.084022253,0.2955,4.346,-0.373552422,-0.3239,1.057,0.457574675,0.6194,3.289
0.722222222,0.69273139,-2.78E-17,4.906,77.258,-8.67E-19,0.1533125,2.4143125,0.0852056,0.124154107,1.460526798,0.082536226,0.6237,6.691,-0.373552426,-0.2035,1.057,0.456088652,0.8272,5.634
0.692307692,0.651234516,-1.53E-16,3.0522,97.7852,-3.12E-18,0.062289796,1.995616327,0.138681561,0.166364894,1.225370206,0.328190319,0.2142,5.007,-0.467492182,-0.7096,0,0.795682501,0.9238,5.007
0.375,0.351244296,-1.39E-17,5.1557,94.9155,-2.57E-19,0.095475926,1.757694444,0.107890533,0.09249453,0.993100077,0.337880309,0.1581,5.007,-0.458482087,-0.2783,0.2215,0.796362395,0.4364,4.7855
0.3,0.276068002,6.94E-17,2.7013,102.5575,1.20E-18,0.046574138,1.768232759,0.153822693,0.134745357,1.001478245,0.338067533,0.1581,5.007,-0.452892705,-0.2783,0.2215,0.790960238,0.4364,4.7855
0.696969697,0.685047925,1.39E-16,7.5839,133.1845,2.31E-18,0.126398333,2.219741667,0.094352022,0.146811651,1.31249976,0.253587542,0.6895,5.853,-0.373552814,-0.3187,0.2215,0.627140356,1.0082,5.6315
0.444444444,0.401798399,-4.58E-16,1.7153,96.2028,-9.16E-18,0.034306,1.924056,0.143820257,0.158101994,1.382589707,0.330352577,0.1581,7.365,-0.459257051,-0.3339,0,0.789609628,0.492,7.365
0.268292683,0.249788273,1.25E-16,10.1049,166.6185,1.29E-18,0.104174227,1.717716495,0.084331304,0.075346079,0.90738566,0.337880965,0.1581,5.007,-0.458457183,-0.2783,0.2215,0.796338147,0.4364,4.7855
0.515151515,0.486201304,1.46E-16,6.1825,125.3935,2.24E-18,0.095115385,1.929130769,0.105675764,0.127151764,1.138498276,0.34299979,0.5437,5.007,-0.422938928,-0.4195,0,0.765938718,0.9632,5.007
0.571428571,0.515897645,1.25E-16,2.8051,57.097,4.46E-18,0.100182143,2.039178571,0.085731429,0.102445198,1.110592186,0.079169074,0.264,4.305,-0.373872756,-0.2051,1.057,0.453041831,0.4691,3.248
0.333333333,0.313030923,-5.55E-17,1.8448,45.915,-2.14E-18,0.070953846,1.765961538,0.105498859,0.127360917,1.106786564,0.155237432,0.1551,5.007,-0.373883329,-0.2783,0,0.529120762,0.4334,5.007
0.333333333,0.323823132,3.47E-17,2.7326,69.481,8.46E-19,0.06664878,1.694658537,0.132156486,0.153723602,0.97322746,0.410041995,0.4833,5.007,-0.4436936,-0.3187,0.389,0.853735595,0.802,4.618
0.166666667,0.166492308,6.94E-17,1.9247,45.939,2.48E-18,0.068739286,1.640678571,0.100808957,0.122946682,0.987403487,0.132771845,0.1441,5.007,-0.377943192,-0.2783,0,0.510715037,0.4224,5.007
0.380952381,0.507266877,1.67E-16,2.7407,54.3735,5.95E-18,0.097882143,1.941910714,0.104696357,0.102352661,1.178774515,0.159285939,0.1581,5.007,-0.373552814,-0.2783,0.2215,0.532838753,0.4364,4.7855
0.533333333,0.489922602,-1.25E-16,3.1292,58.9685,-4.03E-18,0.100941935,1.902209677,0.09938029,0.097947408,1.145864259,0.159285939,0.1581,5.007,-0.370611543,-0.2783,0.2215,0.529897481,0.4364,4.7855
0.611111111,0.580337364,2.78E-17,2.2823,65.3105,8.16E-19,0.067126471,1.920897059,0.146390072,0.13129815,1.27163778,0.3344786,0.1581,5.007,-0.467104137,-0.2783,0,0.801582737,0.4364,5.007
0.666666667,0.627180805,-9.71E-17,1.9197,54.7635,-3.60E-18,0.0711,2.028277778,0.125773257,0.132611887,1.36068741,0.160927544,0.1581,5.007,-0.365322722,-0.2783,0,0.526250266,0.4364,5.007
0.733333333,0.705520872,1.25E-16,2.2673,54.5135,4.63E-18,0.083974074,2.019018519,0.14129005,0.121756961,1.356568659,0.306023667,0.1581,5.007,-0.457471338,-0.2783,0,0.763495005,0.4364,5.007
0.615384615,0.567919871,-1.25E-16,2.3506,49.7565,-5.00E-18,0.094024,1.99026,0.110431296,0.10762153,1.216007657,0.159285939,0.1581,5.007,-0.373349242,-0.2783,0.2215,0.532635181,0.4364,4.7855
0.533333333,0.489922602,-2.78E-17,3.1308,58.9905,-8.95E-19,0.100993548,1.902919355,0.100143397,0.097786416,1.146384035,0.159285939,0.1581,5.007,-0.373556314,-0.2783,0.2215,0.532842253,0.4364,4.7855
0.571428571,0.526045773,1.39E-16,2.7407,54.3735,4.96E-18,0.097882143,1.941910714,0.104696357,0.102352661,1.178774515,0.159285939,0.1581,5.007,-0.373552814,-0.2783,0.2215,0.532838753,0.4364,4.7855
0.421052632,0.381525324,-1.67E-16,2.4806,68.9645,-4.50E-18,0.067043243,1.863905405,0.128364669,0.126422624,1.10465806,0.163497854,0.1581,5.007,-0.367904924,-0.2783,0.2215,0.531402778,0.4364,4.7855
0.833333333,0.818859616,5.55E-17,2.3274,66.6265,1.85E-18,0.07758,2.220883333,0.15787637,0.198696808,1.347703749,0.354164449,0.6895,5.853,-0.464356471,-0.3239,0.2215,0.818520919,1.0134,5.6315
0.833333333,0.818859616,5.55E-17,2.3274,66.6265,1.85E-18,0.07758,2.220883333,0.15787637,0.198696808,1.347703749,0.354164449,0.6895,5.853,-0.464356471,-0.3239,0.2215,0.818520919,1.0134,5.6315
0.833333333,0.818859616,5.55E-17,2.3274,66.6265,1.85E-18,0.07758,2.220883333,0.15787637,0.198696808,1.347703749,0.354164449,0.6895,5.853,-0.464356471,-0.3239,0.2215,0.818520919,1.0134,5.6315
0.833333333,0.818859616,5.55E-17,2.3274,66.6265,1.85E-18,0.07758,2.220883333,0.15787637,0.198696808,1.347703749,0.354164449,0.6895,5.853,-0.464356471,-0.3239,0.2215,0.818520919,1.0134,5.6315
0.833333333,0.818859616,5.55E-17,2.3274,66.6265,1.85E-18,0.07758,2.220883333,0.15787637,0.198696808,1.347703749,0.354164449,0.6895,5.853,-0.464356471,-0.3239,0.2215,0.818520919,1.0134,5.6315
0.833333333,0.818859616,5.55E-17,2.3274,66.6265,1.85E-18,0.07758,2.220883333,0.15787637,0.198696808,1.347703749,0.354164449,0.6895,5.853,-0.464356471,-0.3239,0.2215,0.818520919,1.0134,5.6315
0.833333333,0.818859616,5.55E-17,2.3274,66.6265,1.85E-18,0.07758,2.220883333,0.15787637,0.198696808,1.347703749,0.354164449,0.6895,5.853,-0.464356471,-0.3239,0.2215,0.818520919,1.0134,5.6315
