Full-Mol Wiener Index,Individual Conju-Atom Number (Max-Conju),Conju-Part-Wt (Max-Conju),Conju-AtomicWt (Max-Conju),Max Conju-Distance (Max-Conju),Conju-Branch Index (Max-Conju),Conju-Strut Wiener Index (Max-Conju),Conju-Strut-VSA (Max-Conju),Fun_PEOE-Charge_Sum,Fun_LogP_Sum,Fun_MR_Sum,Fun_PEOE-Charge_Mean,Fun_LogP_Mean,Fun_MR_Mean,Fun_PEOE-Charge_Std,Fun_LogP_Std,Fun_MR_Std,Fun_PEOE-Charge_Max,Fun_LogP_Max,Fun_MR_Max,Fun_PEOE-Charge_Min,Fun_LogP_Min,Fun_MR_Min,Fun_PEOE-Charge_Delta,Fun_LogP_Delta,Fun_MR_Delta,Mid-Fun_PEOE-Charge_Sum,Mid-Fun_LogP_Sum,Mid-Fun_MR_Sum,Mid-Fun_PEOE-Charge_Mean,Mid-Fun_LogP_Mean,Mid-Fun_MR_Mean,Mid-Fun_PEOE-Charge_Std,Mid-Fun_LogP_Std,Mid-Fun_MR_Std,Mid-Fun_PEOE-Charge_Max,Mid-Fun_LogP_Max,Mid-Fun_MR_Max,Mid-Fun_PEOE-Charge_Min,Mid-Fun_LogP_Min,Mid-Fun_MR_Min,Mid-Fun_PEOE-Charge_Delta,Mid-Fun_LogP_Delta,Mid-Fun_MR_Delta,Conju_PEOE-Charge_Sum,Conju_LogP_Sum,Conju_MR_Sum,Conju_PEOE-Charge_Mean,Conju_LogP_Mean,Conju_MR_Mean,Conju_PEOE-Charge_Std,Conju_LogP_Std,Conju_MR_Std,Conju_PEOE-Charge_Max,Conju_LogP_Max,Conju_MR_Max,Conju_PEOE-Charge_Min,Conju_LogP_Min,Conju_MR_Min,Conju_PEOE-Charge_Delta,Conju_LogP_Delta,Conju_MR_Delta
2,9,116.075,0.897222222,5,0.4,1.222222222,129.2068308,-1.120672631,1.0258,33.1295,-0.280168158,0.25645,8.282375,0.214779928,0.661605266,9.685673772,0.086341987,1.3964,24.646,-0.462406518,-0.2338,1.085,0.548748505,1.6302,23.561,-1.029321401,0.8604,38.358,-0.343107134,0.2868,12.786,0.041303263,0.62295453,13.02667468,-0.2847133,1.1626,30.9595,-0.373552814,-0.2338,1.085,0.088839514,1.3964,29.8745,-0.2847133,1.1626,30.9595,-0.2847133,1.1626,30.9595,0,0,0,-0.2847133,1.1626,30.9595,-0.2847133,1.1626,30.9595,0,0,0
2,9,116.075,0.897222222,5,0.4,1.222222222,129.2068308,-1.120672631,1.0258,33.1295,-0.280168158,0.25645,8.282375,0.214779928,0.661605266,9.685673772,0.086341987,1.3964,24.646,-0.462406518,-0.2338,1.085,0.548748505,1.6302,23.561,-1.029321401,0.8604,38.358,-0.343107134,0.2868,12.786,0.041303263,0.62295453,13.02667468,-0.2847133,1.1626,30.9595,-0.373552814,-0.2338,1.085,0.088839514,1.3964,29.8745,-0.2847133,1.1626,30.9595,-0.2847133,1.1626,30.9595,0,0,0,-0.2847133,1.1626,30.9595,-0.2847133,1.1626,30.9595,0,0,0
2,9,116.075,0.897222222,5,0.4,1.222222222,129.2068308,-1.120672631,1.0258,33.1295,-0.280168158,0.25645,8.282375,0.214779928,0.661605266,9.685673772,0.086341987,1.3964,24.646,-0.462406518,-0.2338,1.085,0.548748505,1.6302,23.561,-1.029321401,0.8604,38.358,-0.343107134,0.2868,12.786,0.041303263,0.62295453,13.02667468,-0.2847133,1.1626,30.9595,-0.373552814,-0.2338,1.085,0.088839514,1.3964,29.8745,-0.2847133,1.1626,30.9595,-0.2847133,1.1626,30.9595,0,0,0,-0.2847133,1.1626,30.9595,-0.2847133,1.1626,30.9595,0,0,0
2,9,116.075,0.897222222,5,0.4,1.222222222,129.2068308,-1.120672631,1.0258,33.1295,-0.280168158,0.25645,8.282375,0.214779928,0.661605266,9.685673772,0.086341987,1.3964,24.646,-0.462406518,-0.2338,1.085,0.548748505,1.6302,23.561,-1.029321401,0.8604,38.358,-0.343107134,0.2868,12.786,0.041303263,0.62295453,13.02667468,-0.2847133,1.1626,30.9595,-0.373552814,-0.2338,1.085,0.088839514,1.3964,29.8745,-0.2847133,1.1626,30.9595,-0.2847133,1.1626,30.9595,0,0,0,-0.2847133,1.1626,30.9595,-0.2847133,1.1626,30.9595,0,0,0
2,9,116.075,0.897222222,5,0.4,1.222222222,129.2068308,-1.120672631,1.0258,33.1295,-0.280168158,0.25645,8.282375,0.214779928,0.661605266,9.685673772,0.086341987,1.3964,24.646,-0.462406518,-0.2338,1.085,0.548748505,1.6302,23.561,-1.029321401,0.8604,38.358,-0.343107134,0.2868,12.786,0.041303263,0.62295453,13.02667468,-0.2847133,1.1626,30.9595,-0.373552814,-0.2338,1.085,0.088839514,1.3964,29.8745,-0.2847133,1.1626,30.9595,-0.2847133,1.1626,30.9595,0,0,0,-0.2847133,1.1626,30.9595,-0.2847133,1.1626,30.9595,0,0,0
2,9,116.075,0.897222222,5,0.4,1.222222222,129.2068308,-1.120672631,1.0258,33.1295,-0.280168158,0.25645,8.282375,0.214779928,0.661605266,9.685673772,0.086341987,1.3964,24.646,-0.462406518,-0.2338,1.085,0.548748505,1.6302,23.561,-1.029321401,0.8604,38.358,-0.343107134,0.2868,12.786,0.041303263,0.62295453,13.02667468,-0.2847133,1.1626,30.9595,-0.373552814,-0.2338,1.085,0.088839514,1.3964,29.8745,-0.2847133,1.1626,30.9595,-0.2847133,1.1626,30.9595,0,0,0,-0.2847133,1.1626,30.9595,-0.2847133,1.1626,30.9595,0,0,0
2,9,116.075,0.897222222,5,0.4,1.222222222,129.2068308,-1.120672631,1.0258,33.1295,-0.280168158,0.25645,8.282375,0.214779928,0.661605266,9.685673772,0.086341987,1.3964,24.646,-0.462406518,-0.2338,1.085,0.548748505,1.6302,23.561,-1.029321401,0.8604,38.358,-0.343107134,0.2868,12.786,0.041303263,0.62295453,13.02667468,-0.2847133,1.1626,30.9595,-0.373552814,-0.2338,1.085,0.088839514,1.3964,29.8745,-0.2847133,1.1626,30.9595,-0.2847133,1.1626,30.9595,0,0,0,-0.2847133,1.1626,30.9595,-0.2847133,1.1626,30.9595,0,0,0
2,9,116.075,0.897222222,5,0.4,1.222222222,129.2068308,-1.120672631,1.0258,33.1295,-0.280168158,0.25645,8.282375,0.214779928,0.661605266,9.685673772,0.086341987,1.3964,24.646,-0.462406518,-0.2338,1.085,0.548748505,1.6302,23.561,-1.029321401,0.8604,38.358,-0.343107134,0.2868,12.786,0.041303263,0.62295453,13.02667468,-0.2847133,1.1626,30.9595,-0.373552814,-0.2338,1.085,0.088839514,1.3964,29.8745,-0.2847133,1.1626,30.9595,-0.2847133,1.1626,30.9595,0,0,0,-0.2847133,1.1626,30.9595,-0.2847133,1.1626,30.9595,0,0,0
2,9,116.075,0.897222222,5,0.4,1.222222222,129.2068308,-1.120672631,1.0258,33.1295,-0.280168158,0.25645,8.282375,0.214779928,0.661605266,9.685673772,0.086341987,1.3964,24.646,-0.462406518,-0.2338,1.085,0.548748505,1.6302,23.561,-1.029321401,0.8604,38.358,-0.343107134,0.2868,12.786,0.041303263,0.62295453,13.02667468,-0.2847133,1.1626,30.9595,-0.373552814,-0.2338,1.085,0.088839514,1.3964,29.8745,-0.2847133,1.1626,30.9595,-0.2847133,1.1626,30.9595,0,0,0,-0.2847133,1.1626,30.9595,-0.2847133,1.1626,30.9595,0,0,0
2,9,116.075,0.897222222,5,0.4,1.222222222,129.2068308,-1.120672631,1.0258,33.1295,-0.280168158,0.25645,8.282375,0.214779928,0.661605266,9.685673772,0.086341987,1.3964,24.646,-0.462406518,-0.2338,1.085,0.548748505,1.6302,23.561,-1.029321401,0.8604,38.358,-0.343107134,0.2868,12.786,0.041303263,0.62295453,13.02667468,-0.2847133,1.1626,30.9595,-0.373552814,-0.2338,1.085,0.088839514,1.3964,29.8745,-0.2847133,1.1626,30.9595,-0.2847133,1.1626,30.9595,0,0,0,-0.2847133,1.1626,30.9595,-0.2847133,1.1626,30.9595,0,0,0
