Atom Num Conju-All Ratio,AtomWt Conju-All Ratio,Atom_PEOE-Charge_Sum,Atom_LogP_Sum,Atom_MR_Sum,Atom_PEOE-Charge_Mean,Atom_LogP_Mean,Atom_MR_Mean,Atom_PEOE-Charge_Std,Atom_LogP_Std,Atom_MR_Std,Atom_PEOE-Charge_Max,Atom_LogP_Max,Atom_MR_Max,Atom_PEOE-Charge_Min,Atom_LogP_Min,Atom_MR_Min,Atom_PEOE-Charge_Delta,Atom_LogP_Delta,Atom_MR_Delta
0.833333333,0.85553077,2.22E-16,2.6258,50.0985,1.06E-17,0.125038095,2.385642857,0.144838502,0.199715356,1.923356151,0.337583752,0.8456,8.927,-0.462406512,-0.2783,0.2215,0.799990264,1.1239,8.7055
0.833333333,0.85553077,2.22E-16,2.6258,50.0985,1.06E-17,0.125038095,2.385642857,0.144838502,0.199715356,1.923356151,0.337583752,0.8456,8.927,-0.462406512,-0.2783,0.2215,0.799990264,1.1239,8.7055
0.833333333,0.85553077,2.22E-16,2.6258,50.0985,1.06E-17,0.125038095,2.385642857,0.144838502,0.199715356,1.923356151,0.337583752,0.8456,8.927,-0.462406512,-0.2783,0.2215,0.799990264,1.1239,8.7055
0.833333333,0.85553077,2.22E-16,2.6258,50.0985,1.06E-17,0.125038095,2.385642857,0.144838502,0.199715356,1.923356151,0.337583752,0.8456,8.927,-0.462406512,-0.2783,0.2215,0.799990264,1.1239,8.7055
0.833333333,0.85553077,2.22E-16,2.6258,50.0985,1.06E-17,0.125038095,2.385642857,0.144838502,0.199715356,1.923356151,0.337583752,0.8456,8.927,-0.462406512,-0.2783,0.2215,0.799990264,1.1239,8.7055
0.833333333,0.85553077,2.22E-16,2.6258,50.0985,1.06E-17,0.125038095,2.385642857,0.144838502,0.199715356,1.923356151,0.337583752,0.8456,8.927,-0.462406512,-0.2783,0.2215,0.799990264,1.1239,8.7055
0.833333333,0.85553077,2.22E-16,2.6258,50.0985,1.06E-17,0.125038095,2.385642857,0.144838502,0.199715356,1.923356151,0.337583752,0.8456,8.927,-0.462406512,-0.2783,0.2215,0.799990264,1.1239,8.7055
0.833333333,0.85553077,2.22E-16,2.6258,50.0985,1.06E-17,0.125038095,2.385642857,0.144838502,0.199715356,1.923356151,0.337583752,0.8456,8.927,-0.462406512,-0.2783,0.2215,0.799990264,1.1239,8.7055
0.833333333,0.85553077,2.22E-16,2.6258,50.0985,1.06E-17,0.125038095,2.385642857,0.144838502,0.199715356,1.923356151,0.337583752,0.8456,8.927,-0.462406512,-0.2783,0.2215,0.799990264,1.1239,8.7055
0.833333333,0.85553077,2.22E-16,2.6258,50.0985,1.06E-17,0.125038095,2.385642857,0.144838502,0.199715356,1.923356151,0.337583752,0.8456,8.927,-0.462406512,-0.2783,0.2215,0.799990264,1.1239,8.7055
0.833333333,0.85553077,2.22E-16,2.6258,50.0985,1.06E-17,0.125038095,2.385642857,0.144838502,0.199715356,1.923356151,0.337583752,0.8456,8.927,-0.462406512,-0.2783,0.2215,0.799990264,1.1239,8.7055
0.909090909,0.91995963,2.78E-17,2.1195,43.2615,1.73E-18,0.13246875,2.70384375,0.164877363,0.217749583,2.079630073,0.338348467,0.8456,8.927,-0.457198308,-0.2783,0.2215,0.795546774,1.1239,8.7055
0.9,0.904208554,-6.94E-17,2.6517,44.1465,-4.08E-18,0.155982353,2.596852941,0.091981313,0.199406252,2.051824223,0.159286892,0.8456,8.927,-0.294546242,-0.2783,0.2215,0.453833133,1.1239,8.7055
1,0.972759702,-1.11E-16,2.2616,39.5295,-7.93E-18,0.161542857,2.823535714,0.10417252,0.219287609,2.172871886,0.149539028,0.8456,8.927,-0.297931064,-0.2783,0.2215,0.447470092,1.1239,8.7055
1,0.977848588,1.39E-16,2.32078,38.857,1.07E-17,0.178521538,2.989,0.076838977,0.199838181,2.027207287,0.099109351,0.8456,8.927,-0.19246178,0.0017,1.057,0.291571131,0.8439,7.87
0.727272727,0.782796403,-9.71E-17,1.8526,47.2518,-5.40E-18,0.102922222,2.6251,0.096940019,0.243776538,2.21922955,0.174998753,0.8456,8.927,-0.224017426,-0.3339,0.7774,0.399016179,1.1795,8.1496
