fold,r2,rmse
1,0.3619635125830632,0.7514723884094081
2,0.3414842191124618,0.7854688445216674
3,0.2909887182494786,0.7798322106721851
4,0.3573476868526288,0.7704283156839031
5,0.3720571765559842,0.7739106352300735
6,0.3307392625522257,0.8795736690833806
7,0.3221801197983308,0.8140362815941422
8,0.3315938858485272,0.7943931919808958
9,0.3462643744944741,0.8061175102367992
10,0.3725774788324657,0.7776158750473571
