fold,r2,rmse
1,0.3260890136666028,0.7723097818209845
2,0.1336391828923531,0.9009387524392756
3,0.1891088004780224,0.8339804921286098
4,0.2436038213677815,0.8358317424242429
5,0.3421368624280522,0.7921337880840259
6,0.2034389399193686,0.9595864022352673
7,0.2547619398830482,0.853560134938743
8,0.3183091865031446,0.8022487096455324
9,0.3308777212920267,0.8155489319786307
10,0.3466491553838071,0.7935207600009427
